Brand,Store Number,Store Name,Ownership Type,Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude,,,,,,,,,,,
Starbucks,12929-137795,Clapham - St. John's Road,Company Owned,"37-39 St. John's Road, Brixton Underground Station",London,ENG,GB,SW11 1QN,2079244670,GMT+0:00 Europe/London,-0.114748,51.462598,,"37-39 St. John's Road, Brixton Underground Station SW11 1QN",,,,,,,"37-39 St. John's Road, Brixton Underground Station SW11 1QN",51.462598,-0.114748
Starbucks,7013-150064,Brixton Station,Company Owned,"Shop 5, Brixton Underground Station",London,ENG,GB,SW9,2072747979,GMT+0:00 Europe/London,-0.114816,51.462551,,"Shop 5, Brixton Underground Station SW9",,,,,,,"Shop 5, Brixton Underground Station SW9",51.462551,-0.114816
Starbucks,14945-154366,Stansted Airport DT,Franchise,"A120 Thermal Lane, London Stansted Airport",London,ENG,GB,CM24 1PY,01279 680361,GMT+0:00 Europe/London,0.249891,51.875433,,"A120 Thermal Lane, London Stansted Airport CM24 1PY",,,,,,,"A120 Thermal Lane, London Stansted Airport CM24 1PY",51.875433,0.249891
Starbucks,12949-140506,Juxon House - St. Pauls Church Yard,Company Owned,"St. Paul's Church Yard, Juxon House, Unit 2, Regents Corner",London,ENG,GB,EC4M 8EH,2072480359,GMT+0:00 Europe/London,-0.099727,51.514189,,"St. Paul's Church Yard, Juxon House, Unit 2, Regents Corner EC4M 8EH",,,,,,,"St. Paul's Church Yard, Juxon House, Unit 2, Regents Corner EC4M 8EH",51.514189,-0.099727
Starbucks,12600-98209,Pentonville Road,Company Owned,"296 Pentoville Road, Regents Corner, London - KingsCross",London,ENG,GB,N1 9NR,2078121073,GMT+0:00 Europe/London,-0.121959,51.530904,,"296 Pentoville Road, Regents Corner, London - KingsCross N1 9NR",,,,,,,"296 Pentoville Road, Regents Corner, London - KingsCross N1 9NR",51.530904,-0.121959
Starbucks,12130-15520,Earls Court Road,Company Owned,186 Earls Court Road,London,ENG,GB,SW5 9QG,2073731067,GMT+0:00 Europe/London,-0.194507,51.493014,,186 Earls Court Road SW5 9QG,,,,,,,186 Earls Court Road SW5 9QG,51.493014,-0.194507
Starbucks,12079-11904,Notting Hill - Portobello Road,Company Owned,227 Portobello Road,London,ENG,GB,W11 1LT,2077275881,GMT+0:00 Europe/London,-0.205901,51.51683,,227 Portobello Road W11 1LT,,,,,,,227 Portobello Road W11 1LT,51.51683,-0.205901
Starbucks,12283-55721,Great Portland Street,Company Owned,"159 Great Portland Street, Canary Wharf - Jubilee",London,ENG,GB,W1N 5FD,2076362038,GMT+0:00 Europe/London,-0.143513,51.521412,,"159 Great Portland Street, Canary Wharf - Jubilee W1N 5FD",,,,,,,"159 Great Portland Street, Canary Wharf - Jubilee W1N 5FD",51.521412,-0.143513
Starbucks,12081-11216,Canary Wharf - Canada Square,Company Owned,"Unit R:P:490, One Canada Square",London,ENG,GB,E14  5AB,2075129908,GMT+0:00 Europe/London,-0.018761,51.503182,,"Unit R:P:490, One Canada Square E14  5AB",,,,,,,"Unit R:P:490, One Canada Square E14  5AB",51.503182,-0.018761
Starbucks,12680-104297,Balham - Bedford Hill,Company Owned,"41 - 43 Bedford Hill, Balham",London,ENG,GB,SW12 9EY,2087726583,GMT+0:00 Europe/London,-0.150258,51.443973,,"41 - 43 Bedford Hill, Balham SW12 9EY",,,,,,,"41 - 43 Bedford Hill, Balham SW12 9EY",51.443973,-0.150258
Starbucks,12063-10609,Earls Court - Old Brompton Road,Company Owned,259 Old Brompton Road,London,ENG,GB,SW5 9HP,2073706482,GMT+0:00 Europe/London,-0.19116,51.488984,,259 Old Brompton Road SW5 9HP,,,,,,,259 Old Brompton Road SW5 9HP,51.488984,-0.19116
Starbucks,12365-77687,Walbrook,Company Owned,38 Walbrook,London,ENG,GB,EC4N 8BN,2076261391,GMT+0:00 Europe/London,-0.090039,51.512613,,38 Walbrook EC4N 8BN,,,,,,,38 Walbrook EC4N 8BN,51.512613,-0.090039
Starbucks,12823-140547,Wigmore Street,Company Owned,132 Wigmore Street,London,ENG,GB,W1U 3SD,2074875417,GMT+0:00 Europe/London,-0.153879,51.515642,,132 Wigmore Street W1U 3SD,,,,,,,132 Wigmore Street W1U 3SD,51.515642,-0.153879
Starbucks,16936-176204,"Tooting Broadway, Mitcham Road",Company Owned,"2 Mitcham Road, Tooting Broadway",London,ENG,GB,SW17 9ND,2087678321,GMT+0:00 Europe/London,-0.168032,51.427633,,"2 Mitcham Road, Tooting Broadway SW17 9ND",,,,,,,"2 Mitcham Road, Tooting Broadway SW17 9ND",51.427633,-0.168032
Starbucks,12401-85700,Islington - High Street,Company Owned,"7 Islington High st, Chantrey House",London,ENG,GB,N1 9LQ,2072784778,GMT+0:00 Europe/London,-0.106413,51.532275,,"7 Islington High st, Chantrey House N1 9LQ",,,,,,,"7 Islington High st, Chantrey House N1 9LQ",51.532275,-0.106413
Starbucks,12373-78720,Victoria - Buckingham Palace Road,Company Owned,"98 Buckingham Palace road, Chantrey House",London,ENG,GB,SW1W 0SS,2072590347,GMT+0:00 Europe/London,-0.147063,51.494427,,"98 Buckingham Palace road, Chantrey House SW1W 0SS",,,,,,,"98 Buckingham Palace road, Chantrey House SW1W 0SS",51.494427,-0.147063
Starbucks,48307-262809,Wood Lane Underground Station-,Franchise,Wood Lane Underground Station,London,ENG,GB,W12 7RH,2087492014,GMT+0:00 Europe/London,-0.224301,51.510024,,Wood Lane Underground Station W12 7RH,,,,,,,Wood Lane Underground Station W12 7RH,51.510024,-0.224301
Starbucks,48984-265754,Ealing Broadway Haven Green,Company Owned,"The Broadway, Central Chambers",London,ENG,GB,W5 2NT,2085673943,GMT+0:00 Europe/London,-0.302482,51.514824,,"The Broadway, Central Chambers W5 2NT",,,,,,,"The Broadway, Central Chambers W5 2NT",51.514824,-0.302482
Starbucks,12917-137790,Moorgate,Company Owned,17 Moorgate,London,ENG,GB,EC2R 6PH,020 7600 6967,GMT+0:00 Europe/London,-0.089618,51.515584,,17 Moorgate EC2R 6PH,,,,,,,17 Moorgate EC2R 6PH,51.515584,-0.089618
Starbucks,12177-23186,Earls Court - Sainsbury's,Company Owned,"158 Cromwell Road, Coffe Shop Unit Sainsbury's",London,ENG,GB,SW7 4EJ,2073703416,GMT+0:00 Europe/London,-0.188578,51.494926,,"158 Cromwell Road, Coffe Shop Unit Sainsbury's SW7 4EJ",,,,,,,"158 Cromwell Road, Coffe Shop Unit Sainsbury's SW7 4EJ",51.494926,-0.188578
Starbucks,12971-140948,London - Westfield - Upper Mall,Company Owned,Unit 2122,London,ENG,GB,W12 7GE,2087497088,GMT+0:00 Europe/London,-0.221309,51.507923,,Unit 2122 W12 7GE,,,,,,,Unit 2122 W12 7GE,51.507923,-0.221309
Starbucks,12768-140465,Dulwich - Sainsbury's,Company Owned,"80 Dog Kennel Hill, East Dulwich",London,ENG,GB,SE22 8AA,2077334314,GMT+0:00 Europe/London,-0.084761,51.462173,,"80 Dog Kennel Hill, East Dulwich SE22 8AA",,,,,,,"80 Dog Kennel Hill, East Dulwich SE22 8AA",51.462173,-0.084761
Starbucks,12385-82660,Victoria-Palmer Street,Company Owned,16-18 Palmer Street,London,ENG,GB,SW1H 0AD,2072333475,GMT+0:00 Europe/London,-0.135581,51.498949,,16-18 Palmer Street SW1H 0AD,,,,,,,16-18 Palmer Street SW1H 0AD,51.498949,-0.135581
