Name,Name,Name1,Elevation,Northing,Easting,Range,NE,Latitude,Longitude
MOUNT EVEREST,MOUNT EV,MOUNT EV,8848,"27°59'18""","86°55'27""",EVEREST,"N27°59'18""E86°55'27""",27.988333,86.924167
K2,K2,K2,8611,"35°52'57""","76°30'48""",EVEREST,"N35°52'57""E76°30'48""",35.8825,76.513333
KANGCHENJUNGA,KANGCHEN,KANGCHEN,8586,"27°42'09""","88°08'48""",EVEREST,"N27°42'09""E88°08'48""",27.7025,88.146667
DHAULAGIRI,DHAULAGI,DHAULAGI,8167,"28°41'48""","83°29'24""",EVEREST,"N28°41'48""E83°29'24""",28.696667,83.49
MANASLU,MANASLU,MANASLU,8163,"28°32'57""","84°33'27""",EVEREST,"N28°32'57""E84°33'27""",28.549167,84.5575
NANGA PARBAT,NANGA PA,NANGA PA,8125,"35°14'21""","74°35'27""",EVEREST,"N35°14'21""E74°35'27""",35.239167,74.590833
ANNAPURNA,ANNAPURN,ANNAPURN,8091,"28°35'45""","83°49'21""",EVEREST,"N28°35'45""E83°49'21""",28.595833,83.8225
NANDA DEVI,NANDA DE,NANDA DE,7816,"30°22'36""","79°58'15""",EVEREST,"N30°22'36""E79°58'15""",30.376667,79.970833
BATURA SAR,BATURA S,BATURA S,7795,"36°30'36""","74°31'21""",EVEREST,"N36°30'36""E74°31'21""",36.51,74.5225
NAMCHA BARWA,NAMCHA B,NAMCHA B,7782,"29°37'45""","95°03'21""",EVEREST,"N29°37'45""E95°03'21""",29.629167,95.055833
TIRICH MIR,TIRICH M,TIRICH M,7706,"36°15'15""","71°50'36""",EVEREST,"N36°15'15""E71°50'36""",36.254167,71.843333
KONGUR TAGH,KONGUR T,KONGUR T,7649,"38°35'39""","75°18'48""",EVEREST,"N38°35'39""E75°18'48""",38.594167,75.313333
KANGKAR PÜNZUM,KANGKAR ,KANGKAR ,7570,"28°02'54""","90°27'15""",EVEREST,"N28°02'54""E90°27'15""",28.048333,90.454167
MINYA KONKA,MINYA KO,MINYA KO,7556,"29°35'42""","101°52'36""",EVEREST,"N29°35'42""E101°52'36""",29.595,101.876667
PIK IMENI ISMAIL SAMANI,PIK IMEN,PIK IMEN,7495,"38°56'33""","72°00'54""",EVEREST,"N38°56'33""E72°00'54""",38.9425,72.015
JENGISH CHOKUSU,JENGISH ,JENGISH ,7439,"42°02'15""","80°07'30""",EVEREST,"N42°02'15""E80°07'30""",42.0375,80.125
GYALHA PERI,GYALHA P,GYALHA P,7294,"29°48'51""","94°58'06""",EVEREST,"N29°48'51""E94°58'06""",29.814167,94.968333
ACONCAGUA,ACONCAGU,ACONCAGU,6962,"-32°39'12""","-70°00'39""",ACONCAGUA,"N-32°39'12""E-70°00'39""",-32.653333,-70.010833
